,URL,Title,Author,Avg_rating,Num_reviews,Num_ratings,Pages,Publish_year,Series,Genres,Awards,Places
927,https://www.goodreads.com/book/show/14288998-into-the-still-blue,Into the Still Blue,Veronica Rossi,4.15,3823,44241,389,2014,Under the Never Sky #3,"['Young Adult', 'Science Fiction', '1,018 users']",,
928,https://www.goodreads.com/book/show/6920820-shadow-hills,Shadow Hills,Anastasia Hopcus,3.67,456,3646,388,2010,Shadow Hills #1,"['Young Adult', 'Fantasy', '126 users']",,"Shadow Hills, Massachusetts  (United States)"
929,https://www.goodreads.com/book/show/12288282-gunmetal-magic,Gunmetal Magic,Ilona Andrews,4.24,1993,34121,326,2012,Kate Daniels #5.5,"['Fantasy', '1,120 users', '835 users']","['All About Romance (AAR) Annual Reader Poll for Most Kickass Heroine (2013)', ""Romantic Times Reviewers' Choice Award (RT Award) for Shapeshifter Romance (2012)"", 'Goodreads Choice Award Nominee for Paranormal Fantasy and for Goodreads Author (2012)']","Atlanta, Georgia  (United States)"
930,https://www.goodreads.com/book/show/11556960-crewel,Crewel,Gennifer Albin,3.72,2429,17822,368,2012,Crewel World #1,"['Young Adult', 'Fantasy', 'Science Fiction']",,
931,https://www.goodreads.com/book/show/10092.Sea_of_Silver_Light,Sea of Silver Light,Tad Williams,4.14,290,13140,688,2001,Otherland #4,"['Fantasy', 'Science Fiction', 'Fiction']",,
932,https://www.goodreads.com/book/show/9464733-beauty-queens,Beauty Queens,Libba Bray,3.62,7798,53034,396,2011,,"['Young Adult', 'Contemporary', 'Humor']","[""Romantic Times Reviewers' Choice Award (RT Award) for Young Adult Novel (2011)"", 'Audie Award for Narration by the Author or Authors (2012)', 'Los Angeles Times Book Prize Nominee for Young Adult Literature (2011)', 'Milwaukee County Teen Book Award Nominee (2012)', 'Goodreads Choice Award Nominee for Young Adult Fiction (2011)']",an island in the middle of nowhere
933,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,Of Mice and Men,John Steinbeck,3.88,36321,2028753,103,1937,,"['Classics', 'Fiction', 'Academic']","[""New York Drama Critics' Circle Award for Best American Play (1938)""]","Salinas Valley, California  (United States)   California  (United States)"
934,https://www.goodreads.com/book/show/66678.Exile,Exile,R.A. Salvatore,4.19,1102,59530,343,1990,The Legend of Drizzt #2,"['Fantasy', 'Dungeons and Dragons', '609 users']",,
935,https://www.goodreads.com/book/show/26085520-everland,Everland,Wendy Spinale,3.72,1082,5216,312,2016,Everland #1,"['Fantasy', 'Young Adult', 'Retellings']",,
936,https://www.goodreads.com/book/show/18505844-memory-of-water,Memory of Water,Emmi Itäranta,3.71,978,6379,263,2012,,"['Science Fiction', 'Science Fiction', '181 users']","['Locus Award Nominee for Best Young Adult Book (2015)', 'Arthur C. Clarke Award Nominee (2015)', 'Philip K. Dick Award Nominee (2015)', 'Compton Crook Award Nominee (2015)', 'Kalevi Jäntin palkinto (2012)\n...more\nJames Tiptree Jr. Award Nominee (2014)', 'Nuori Aleksis -palkinto (2013)', 'Tähtivaeltaja Award Nominee (2013)', 'The Kitschies Nominee for Golden Tentacle (Debut) (2014)', 'HelMet Award for Yleisön suosikki (2015)\n...less']",
937,https://www.goodreads.com/book/show/15059301-captured,Captured,Erica Stevens,4.04,1334,18444,168,2012,The Captive #1,"['Paranormal', '471 users', 'Paranormal']",,
938,https://www.goodreads.com/book/show/31180840-the-turn,The Turn: The Hollows Begins with Death,Kim Harrison,4.16,866,6634,448,2017,The Hollows #0,"['Fantasy', '284 users', '183 users']",,"California, 1960  (United States)"
939,https://www.goodreads.com/book/show/2111634.Flood,Flood,Stephen Baxter,3.59,530,5002,536,2008,Flood #1,"['Science Fiction', 'Fiction', 'Apocalyptic']",,"Barcelona, Catalonia, 2016  (Spain)   London, England, 2016  (United Kingdom)   Houston, Texas, 2017  (United States)   …more Reykjavik (Reykjavík), 2017  (Iceland)   New York City, New York, 2018  (United States)   Cusco  (Peru)   …less"
940,https://www.goodreads.com/book/show/34527.Feet_of_Clay,Feet of Clay,Terry Pratchett,4.26,1743,74796,411,1996,Discworld #19,"['Fantasy', 'Fiction', 'Humor']",,Ankh-Morpork  Discworld
941,https://www.goodreads.com/book/show/451777.One_Nation_Under_God,One Nation Under God,Vincent M. Wales,3.82,7,28,433,2004,,"['Science Fiction', '4 users', '3 users']",,
942,https://www.goodreads.com/book/show/693381.Just_Like_Beauty,Just Like Beauty,Lisa Lerner,3.57,17,150,288,2002,,"['Fiction', 'Science Fiction', '9 users']",,
943,https://www.goodreads.com/book/show/6779932-future-hope,Future Hope,David Gelber,3.68,18,28,336,2008,ITP #1,"['Science Fiction', '3 users', '2 users']",,
944,https://www.goodreads.com/book/show/7744064-infinite-days,Infinite Days,Rebecca Maizel,3.91,1180,9319,308,2010,Vampire Queen #1,"['Paranormal', '368 users', '317 users']",,
945,https://www.goodreads.com/book/show/8495689-from-the-herald-s-wearied-eye,From the Herald's Wearied Eye,Jessica McHugh,4.14,1,7,166,2010,,,,
946,https://www.goodreads.com/book/show/13097644-thank-you-for-your-cooperation,Thank You For Your Cooperation,Adam   Wasserman,3.71,12,42,,2011,Bunker #1,"['Science Fiction', 'Science Fiction', '3 users']",,
947,https://www.goodreads.com/book/show/14654984-maligned,Maligned,Kathleen Papajohn,4.39,8,18,274,2012,,,,
948,https://www.goodreads.com/book/show/6309229-corpus-delicti-ein-prozess,Corpus Delicti. Ein Prozess,Juli Zeh,3.56,272,4188,264,2009,,"['Science Fiction', '51 users', '44 users']","['The Kitschies Nominee for Red Tentacle (Novel) (2012)', 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']",
