,Unnamed: 0,url,title,author,avg_rating,num_reviews,num_ratings,pages,publish_year,series,genres,awards,places,book_score,mean_norm,min_max_norm
512,512,https://www.goodreads.com/book/show/13330370-the-last-policeman,The Last Policeman,Ben H. Winters,3.79,3354,28409,316.0,2012,True,"['Mystery', 'Fiction', 'Science Fiction']","['Locus Award Nominee for Best SF Novel (2013)', ""Grand Prix de l'Imaginaire Nominee for Roman étranger (2016)"", 'Edgar Award for Best Paperback Original (2013)']","Concord, New Hampshire, 2012  (United States)   New Hampshire  (United States)",489,5.272704391891892,6.320945945945946
513,513,https://www.goodreads.com/book/show/12173462-white-horse,White Horse,Alex Adams,3.48,710,3179,306.0,2012,True,"['Science Fiction', '74 users', '70 users']",['Goodreads Choice Award Nominee for Horror (2012)'],,488,4.801420608108108,5.378378378378378
514,514,https://www.goodreads.com/book/show/23438288-flawed,Flawed,Cecelia Ahern,4.12,3651,26417,336.0,2016,True,"['Young Adult', 'Science Fiction', '404 users']",['Evergreen Teen Book Award (2019)'],,487,5.774393581081082,7.324324324324324
515,515,https://www.goodreads.com/book/show/1003985.Epic,Epic,Conor Kostick,3.95,555,6264,384.0,2004,True,"['Science Fiction', 'Fantasy', 'Young Adult']",['Rhode Island Teen Book Award Nominee (2009)'],,486,5.515947635135135,6.807432432432433
516,516,https://www.goodreads.com/book/show/27416811-rotter-apocalypse,Rotter Apocalypse,Scott M. Baker,4.67,15,33,348.0,2015,True,"['Horror', 'Horror', '3 users']",,,485,6.61054222972973,8.996621621621621
517,517,https://www.goodreads.com/book/show/13576244-rotter-world,Rotter World,Scott M. Baker,4.13,29,124,300.0,2012,True,"['Horror', '22 users', '13 users']",,,484,5.7895962837837835,7.354729729729729
518,518,https://www.goodreads.com/book/show/45887744-the-feral-children,The Feral Children: Animals,David A. Simpson,4.62,56,245,360.0,2019,True,"['Horror', '4 users', '2 users']",,,483,6.534528716216217,8.844594594594595
519,519,https://www.goodreads.com/book/show/387373.Swastika_Night,Swastika Night,Katharine Burdekin,3.63,246,1940,208.0,1937,False,"['Fiction', 'Science Fiction', 'Science Fiction']",,"Munich (München), 2609  (Germany)",482,5.0294611486486485,5.834459459459459
520,520,https://www.goodreads.com/book/show/34813838-that-which-clouds-the-soul,"That, Which Clouds the Soul",Nicolas Ryan Moore,4.5,1,28,120.0,2017,False,,,,481,6.3520962837837835,8.47972972972973
521,521,https://www.goodreads.com/book/show/34108605-convoy-of-carnage,Convoy of Carnage,David A. Simpson,4.4,192,1132,354.0,2017,True,"['Horror', '24 users', '13 users']",,,480,6.200069256756757,8.175675675675677
522,522,https://www.goodreads.com/book/show/40992.Shadow_Claw,Shadow & Claw,Gene Wolfe,4.02,1115,16462,413.0,1994,True,"['Fantasy', 'Science Fiction', 'Fiction']",,,480,5.622366554054054,7.020270270270269
523,523,https://www.goodreads.com/book/show/2331954.Infected,Infected,Scott Sigler,3.84,1700,19509,342.0,2008,True,"['Horror', 'Science Fiction', 'Fiction']",,,479,5.3487179054054055,6.472972972972973
524,524,https://www.goodreads.com/book/show/20640755-the-book-of-ivy,The Book of Ivy,Amy Engel,4.15,2651,18628,282.0,2014,True,"['Young Adult', 'Science Fiction', '510 users']","['Georgia Peach Book Award (2016)', 'Colorado Romance Writers Award of Excellence Nominee for Young Adult Fiction (2015)', 'Missouri Gateway Readers Award (2017)']",,477,5.82000168918919,7.415540540540541
525,525,https://www.goodreads.com/book/show/25615875-rotter-nation,Rotter Nation,Scott M. Baker,4.68,11,34,367.0,2015,True,"['Horror', '4 users', '3 users']",,,477,6.625744932432433,9.027027027027026
